"用户ID","品类","消费金额","退换货次数","会员等级","时间"
"1001","T恤,牛仔裤","528","0","银卡","2025-01"
"1002","衬衫,西裤","890","1","金卡","2025-01"
"1003","连衣裙,外套","1250","0","金卡","2025-01"
"1004","运动服,跑鞋","680","2","银卡","2025-01"
"1005","内衣,家居服","320","0","普通会员","2025-01"
"1006","羽绒服,围巾","1680","0","钻石卡","2025-01"
"1007","UT系列,短裤","298","1","普通会员","2025-01"
"1008","针织衫,半裙","760","0","银卡","2025-01"
"1009","AIRism系列","450","0","银卡","2025-01"
"1010","HEATTECH系列","580","1","金卡","2025-01"
"1001","衬衫,九分裤","620","0","银卡","2025-02"
"1002","西装外套,裤装","1350","0","金卡","2025-02"
"1003","T恤,阔腿裤","480","1","金卡","2025-02"
"1004","运动套装","520","0","银卡","2025-02"
"1005","睡衣,内衣","280","0","普通会员","2025-02"
"1006","大衣,毛衣","2100","0","钻石卡","2025-02"
"1007","牛仔裤,卫衣","420","0","普通会员","2025-02"
"1008","连衣裙","580","1","银卡","2025-02"
"1009","防晒衣,短裤","360","0","银卡","2025-02"
"1010","衬衫,西裤","790","0","金卡","2025-02"
"1001","运动服","380","1","银卡","2025-03"
"1002","T恤,牛仔裤","540","0","金卡","2025-03"
"1003","外套,半裙","920","0","金卡","2025-03"
"1004","跑鞋,运动袜","450","0","银卡","2025-03"
"1005","家居服","180","0","普通会员","2025-03"
"1006","西装,衬衫","1850","0","钻石卡","2025-03"
"1007","UT系列","198","0","普通会员","2025-03"
"1008","针织开衫,裤装","680","0","银卡","2025-03"
"1009","AIRism内衣","240","0","银卡","2025-03"
"1010","连衣裙,外套","1120","0","金卡","2025-03"
